english,swahili,status,due
to say ,kusema,h4,2024-10-13T13:23:52.321767
to be ,kuwa,h4,2024-10-13T13:41:48.961695
to do ,kufanya,h24,2024-10-15T09:43:36.160156
to want ,kutaka,h4,2024-11-14T14:06:55.920928
to give ,kutoa,h4,2024-10-13T13:40:15.272170
to get ,kupata,h4,2024-10-13T13:41:06.232653
to continue ,kuendelea,h24,2024-11-15T10:06:52.956426
to use ,kutuma,h24,2024-10-15T09:43:57.158765
to be able to ,kuweza,d6,2024-11-22T14:29:14.205771
to give ,kupa,h24,2024-11-17T14:29:31.640270
to begin ,kuanza,h4,2024-11-14T14:00:38.158831
to claim ,kudai,h4,2024-11-14T14:06:39.225941
to leave ,kutoka,h4,2024-10-13T13:00:00
to go ,kuenda,h4,2024-11-14T14:06:28.243877
to see ,kuona,h4,2024-11-16T18:29:21.070141
to can ,kuweza,,
to be done ,kufanya,,
to help ,kusaidia,h4,2024-10-13T13:05:00
to explain ,kueleza,h4,2024-10-13T13:10:00
to know ,kujua,,
to place ,kuweka,,
to appear ,kutoka,,
to give ,kutoa,,
to participate ,kushiriki,,
to ask ,kuomba,,
to take ,kuchukua,,
to tell ,kuamba,,
to enter ,kuingia,,
to mention ,kutaja,,
to increase ,kuongeza,,
to arrive ,kufika,,
to speak ,kusema,,
to arrive ,kufika,,
to show ,kuonyesha,,
to fail ,kushinda,,
to discuss ,kuzungumza,,
to live ,kuishi,,
to build ,kujenga,,
to wish ,kutaka,,
to leave ,kuacha,,
to cause ,kusababika,,
to bring ,kuleta,,
to come ,kuja,,
to be seen ,kuona,,
to send ,kupeleka,,
to call ,kuita,,
to pay ,kulipa,,
to answer ,kujibu,,
to begin ,kuanza,,
to announce ,kutangaza,,
to there is ,kukuna,,
to believe ,kuamini,,
to lead ,kuongoa,,
to decide ,kuamua,,
to there is not ,kuhakuna,,
to be available ,kupata,,
to search ,kutafuta,,
to ask ,kuuliza,,
to pass ,kupita,,
to oppose ,kupinga,,
to implement ,kutekeleza,,
to follow ,kufuata,,
to prevent ,kuzuia,,
to operate ,kuenda,,
to leave ,kuondoka,,
to follow ,kufuata,,
to catch ,kukamata,,
to agree ,kukubali,,
to write ,kuandika,,
to prepare ,kuandaa,,
to ensure ,kuhakiki,,
to meet ,kukuta,,
to meet ,kukuta,,
to eat ,kula,,
to be used ,kutuma,,
to imprison ,kufunga,,
to like ,kupenda,,
to hit ,kupiga,,
to be concerned ,kuhusu,,
to suit ,kupasa,,
to receive ,kupokea,,
to look at ,kuangalia,,
to rely on ,kutegemea,,
to need ,kuhitaji,,
to recognize ,kutambua,,
to return ,kurudi,,
to decrease ,kupunga,,
to arrange ,kupanga,,
to face ,kukabili,,
to stay ,kukaa,,
to review ,kupita,,
to read ,kusoma,,
to die ,kufa,,
to get ,kupata,,
to construct ,kuunda,,
to kill ,kuua,,
to begin ,kuanza,,
to permit ,kuruhusu,,
to increase ,kuzidi,,
to choose ,kuchagua,,
to hope ,kutaraji,,
to hear ,kusikia,,
to he ,kuwa_na,,
to open ,kufungua,,
to have ,kuina,,
to consider ,kuzingatia,,
to emphasize ,kusisitiza,,
to grow ,kukua,,
to promote ,kuendelea,,
to discuss ,kuzungumza,,
to there are ,kukuna,,
to try ,kujaribu,,
to bring ,kufika,,
to empower ,kuweza,,
to finish ,kumaliza,,
to face ,kuelekea,,
to sell ,kuuza,,
to remove ,kuondoa,,
to play ,kucheza,,
to refuse ,kukataa,,
to concern ,kuhusu,,
to succeed ,kufana,,
to contribute ,kuchanga,,
to strengthen ,kuimarika,,
to listen ,kusikiliza,,
to question ,kuhoji,,
to guard ,kulinda,,
to do ,kufanya,,
to show ,kuonesha,,
to discuss ,kujadili,,
to take :hold of ,kushika,,
to present ,kuwasili,,
to verify ,kuthibiti,,
to win ,kushinda,,
to emerge ,kutoa,,
to take :part in ,kuhudhuria,,
to kill ,kuuawa,,
to know ,kufahamu,,
to there ,kuwa_na,,
to have ,kuana,,
to venture ,kuwahi,,
to lose ,kupotea,,
to understand ,kuelewa,,
to buy ,kununua,,
to advise ,kushauri,,
to publish ,kutoa,,
to increase ,kuongeza,,
to control ,kudhibiti,,
to remember ,kukumbuka,,
to suit ,kufaa,,
to prepare ,kutengenea,,
to preserve ,kuhifadhi,,
to supervise ,kusimama,,
to make :participate ,kuhusu,,
to return ,kurejea,,
to defend ,kuteta,,
to explain ,kueleza,,
to put ,kutia,,
to be known ,kujua,,
to pass ,kupita,,
to send ,kutuma,,
to look ,kutazama,,
to teach ,kufunda,,
to injure ,kujeruhi,,
to be possible ,kuweza,,
to hand over ,kukabidhi,,
to care for ,kujali,,
to join ,kuunga,,
to break ,kuvunja,,
to improve ,kuboreka,,
to be obliged ,kubidi,,
to enter ,kuingia,,
to think ,kufikiri,,
to promise ,kuahidi,,
to think ,kudhani,,
to cultivate ,kulima,,
to be finished ,kumaliza,,
to be :equal ,kulingana,,
to appoint ,kuteua,,
to be busy with ,kushughulika,,
to publish ,kutoa,,
to wait ,kusubiri,,
to to ,kupambana_na,,
to remain ,kubaki,,
to visit ,kutembea,,
to agree ,kukubali,,
to leave ,kuacha,,
to stand ,kusimama,,
to hope ,kutaraji,,
to take :hold of ,kushika,,
to make :participate ,kushiriki,,
to do ,kutenda,,
to suggest ,kupendekeza,,
to sleep ,kulala,,
to possess ,kumiliki,,
to make :perfect ,kukamili,,
to examine ,kuchungua,,
to discover ,kugundua,,
to born ,kuzaa,,
to arrive ,kuwasili,,
to force ,kulazimu,,
to miss ,kukosa,,
to come from ,kutoka,,
to complete ,kutimiza,,
to invade ,kuvama,,
to elucidate ,kufafanua,,
to have ,kuhawana,,
to return ,kurudi,,
to aim at ,kulenga,,
to cut ,kukata,,
to admit ,kukiri,,
to attack ,kushambua,,
to wipe off ,kufuta,,
to have ,kuhana,,
to be known ,kufahamu,,
to measure ,kupima,,
to diminish ,kupungua,,
to put to bed ,kulaza,,
to collect ,kukusanya,,
to witness ,kushuhudu,,
to chase away ,kufukuza,,
to thank ,kushukuru,,
to govern ,kutawala,,
to respect ,kuheshimu,,
to have ,kuhaina,,
to compare ,kulinga,,
to damage ,kuharibu,,
to to ,kufanya_kazi,,
to intend ,kukusudia,,
to influence ,kuathiri,,
to deserve ,kustahili,,
to be :perfect ,kukamili,,
to blame ,kulaumu,,
to trouble ,kukumba,,
to return ,kurejea,,
to give :birth to ,kuzaa,,
to talk ,kuongea,,
to frighten ,kutii,,
to send ,kupeleka,,
to order ,kuagiza,,
to care for ,kutunza,,
to prepare ,kutayarika,,
to dress ,kuvaa,,
to suspect ,kutuhumu,,
to infect ,kuambukiza,,
to correct ,kurekebu,,
to encourage ,kuhimiza,,
to steal ,kuiba,,
to have ,kuuna,,
to separate ,kutenga,,
to cry ,kulia,,
to face ,kukabili,,
to carry ,kubeba,,
to remove ,kuondoa,,
to connect ,kuunganika,,
to throw ,kutupa,,
to learn ,kufunza,,
to congratulate ,kupongea,,
to warn ,kuonya,,
to be needed ,kuhitaji,,
to investigate ,kufuatilia,,
to join ,kuunga,,
to inform ,kuarifu,,
to direct ,kuelekea,,
to run ,kukimbia,,
to cure ,kutibu,,
to change ,kubadili,,
to call ,kuita,,
to rob ,kupora,,
to place ,kuweka,,
to register ,kusajili,,
to bring ,kuleta,,
to travel ,kusafiri,,
to represent ,kuwakilika,,
to die ,kufariki,,
to climb ,kupanda,,
to enlarge ,kukuza,,
to change ,kubadili,,
to be influenced ,kuathiri,,
to teach ,kuelimika,,
to expect ,kutazama,,
to spread ,kusambaa,,
to forget ,kusahau,,
to contest ,kugomba,,
to serve ,kuhudumu,,
to fail ,kukosa,,
to beat ,kugonga,,
to think ,kufikiri,,
to emerge ,kuzua,,
to welcome ,kukaribia,,
to be full of ,kujaa,,
to hunt down ,kusaka,,
to compose ,kutunga,,
to hide ,kuficha,,
